
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2a02:1810:1e0c:ca00:a1d9:e916:8f54:e8b8]:2210  [2a00:1450:4025:401::bc]:5228  ESTABLISHED     14880
  TCP    [2a02:1810:1e0c:ca00:a1d9:e916:8f54:e8b8]:3851  [2a03:2880:f021:1b:face:b00c:0:2825]:443  ESTABLISHED     12392
  TCP    [2a02:1810:1e0c:ca00:a1d9:e916:8f54:e8b8]:6853  [2606:50c0:8003::154]:443  ESTABLISHED     14880
  TCP    [2a02:1810:1e0c:ca00:a1d9:e916:8f54:e8b8]:6882  [2600:1901:1:c36::]:443  ESTABLISHED     4708
  UDP    0.0.0.0:53             *:*                                    3556
  UDP    0.0.0.0:500            *:*                                    5172
  UDP    0.0.0.0:1900           *:*                                    20904
  UDP    0.0.0.0:1900           *:*                                    20904
  UDP    0.0.0.0:3702           *:*                                    4364
  UDP    0.0.0.0:3702           *:*                                    4992
  UDP    0.0.0.0:3702           *:*                                    4364
  UDP    0.0.0.0:3702           *:*                                    4992
  UDP    0.0.0.0:4500           *:*                                    5172
  UDP    0.0.0.0:5050           *:*                                    8748
  UDP    0.0.0.0:5353           *:*                                    20904
  UDP    0.0.0.0:5353           *:*                                    20904
  UDP    0.0.0.0:5353           *:*                                    9580
  UDP    0.0.0.0:5353           *:*                                    9580
  UDP    0.0.0.0:5353           *:*                                    20904
  UDP    0.0.0.0:5353           *:*                                    20904
  UDP    0.0.0.0:5353           *:*                                    9580
  UDP    0.0.0.0:5353           *:*                                    20904
  UDP    0.0.0.0:5353           *:*                                    3360
  UDP    0.0.0.0:5353           *:*                                    9580
  UDP    0.0.0.0:5353           *:*                                    20904
  UDP    0.0.0.0:5355           *:*                                    3360
  UDP    0.0.0.0:8976           *:*                                    10828
  UDP    0.0.0.0:49673          *:*                                    4352
  UDP    0.0.0.0:51866          *:*                                    3556
  UDP    0.0.0.0:51867          *:*                                    3556
  UDP    0.0.0.0:53615          *:*                                    10828
  UDP    0.0.0.0:55199          *:*                                    4992
  UDP    0.0.0.0:55905          *:*                                    20904
  UDP    0.0.0.0:55907          *:*                                    20904
  UDP    0.0.0.0:57621          *:*                                    20904
  UDP    0.0.0.0:64103          *:*                                    4364
  UDP    127.0.0.1:1900         *:*                                    5020
  UDP    127.0.0.1:49670        *:*                                    5956
  UDP    127.0.0.1:49671        *:*                                    4352
  UDP    127.0.0.1:64102        *:*                                    5020
  UDP    172.19.0.1:137         *:*                                    4
  UDP    172.19.0.1:138         *:*                                    4
  UDP    172.19.0.1:1900        *:*                                    5020
  UDP    172.19.0.1:64100       *:*                                    5020
  UDP    192.168.0.226:137      *:*                                    4
  UDP    192.168.0.226:138      *:*                                    4
  UDP    192.168.0.226:1900     *:*                                    5020
  UDP    192.168.0.226:64101    *:*                                    5020
  UDP    [::]:500               *:*                                    5172
  UDP    [::]:3702              *:*                                    4364
  UDP    [::]:3702              *:*                                    4992
  UDP    [::]:3702              *:*                                    4992
  UDP    [::]:3702              *:*                                    4364
  UDP    [::]:4500              *:*                                    5172
  UDP    [::]:5353              *:*                                    3360
  UDP    [::]:5353              *:*                                    20904
  UDP    [::]:5353              *:*                                    20904
  UDP    [::]:5353              *:*                                    20904
  UDP    [::]:5353              *:*                                    20904
  UDP    [::]:5353              *:*                                    9580
  UDP    [::]:5353              *:*                                    9580
  UDP    [::]:5353              *:*                                    20904
  UDP    [::]:5353              *:*                                    20904
  UDP    [::]:5355              *:*                                    3360
  UDP    [::]:8976              *:*                                    10828
  UDP    [::]:51868             *:*                                    3556
  UDP    [::]:53615             *:*                                    10828
  UDP    [::]:55200             *:*                                    4992
  UDP    [::]:64104             *:*                                    4364
  UDP    [::1]:1900             *:*                                    5020
  UDP    [::1]:64099            *:*                                    5020
  UDP    [fe80::cdde:d54a:ef88:6179%47]:1900  *:*                                    5020
  UDP    [fe80::cdde:d54a:ef88:6179%47]:64097  *:*                                    5020
  UDP    [fe80::f4c3:5df7:d036:b472%16]:1900  *:*                                    5020
  UDP    [fe80::f4c3:5df7:d036:b472%16]:64098  *:*                                    5020
